Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018,Alex Abrines,SG,24,OKC,19,289,6.7,0.508,0.671,0.157,2.6,8.2,5.3,3.5,1.7,0.3,8.6,12.3,0.1,0.3,0.4,0.067,-2.5,-1.3,-3.8,-0.1
2018,Quincy Acy,PF,27,BRK,17,301,7.1,0.519,0.795,0.282,3,21,11.8,5.4,0.9,1,17,14.6,-0.1,0.2,0.1,0.017,-2.8,-0.8,-3.6,-0.1
2018,Steven Adams,C,24,OKC,18,560,20.6,0.662,0,0.32,15.2,13.9,14.6,4.1,2.1,3.5,15.1,15.9,1.5,0.9,2.4,0.203,1.2,1.7,2.9,0.7
2018,Bam Adebayo,C,20,MIA,13,191,16.9,0.631,0,0.537,11.1,19,15.1,1.6,2.6,3,15.1,14,0.3,0.3,0.7,0.168,-2.3,1.8,-0.5,0.1
2018,Arron Afflalo,SG,32,ORL,17,199,2.4,0.396,0.472,0.278,0.6,12.9,6.8,5.7,0.2,1.2,12.9,10.1,-0.2,0,-0.2,-0.046,-5.4,-1.2,-6.5,-0.2
2018,Cole Aldrich,C,29,MIN,5,10,0.8,0.174,0,1,0,11.7,5.8,12.1,5,0,0,12.6,0,0,0,-0.075,-7.6,1.5,-6.1,0
2018,LaMarcus Aldridge,PF,32,SAS,22,731,26.3,0.586,0.1,0.316,10.7,16.5,13.6,12.8,0.9,3.1,6.9,28.5,2.6,1.1,3.7,0.245,4.1,0.1,4.2,1.2
2018,Jarrett Allen,C,19,BRK,14,217,14.8,0.547,0.019,0.404,9.8,16.8,13.2,4.6,1.9,3.6,8.9,12.8,0.3,0.2,0.6,0.123,-1.9,1.9,0,0.1
2018,Tony Allen,SG,36,NOP,19,254,8.9,0.514,0.145,0.229,8.5,11.3,10,5.1,1.9,1,17.2,18.9,-0.1,0.2,0.1,0.012,-4,-1.1,-5.1,-0.2
2018,Al-Farouq Aminu,PF,27,POR,10,289,14.3,0.584,0.543,0.171,5.7,22.2,14.1,7.2,1.2,2.8,11.7,12.8,0.4,0.5,0.9,0.156,-0.2,2.5,2.4,0.3
2018,Justin Anderson,SF,24,PHI,10,126,9.6,0.489,0.542,0.146,8.4,13.8,11.1,3.4,1.1,0.7,7.3,18.1,0.1,0.1,0.2,0.071,-1.5,-2.5,-4,-0.1
2018,Kyle Anderson,SF,24,SAS,22,609,16.9,0.57,0.072,0.336,5.7,18.9,12.3,16.3,2.1,2.6,13.4,14.8,1,1.1,2.1,0.167,-0.1,3.3,3.2,0.8
2018,Ryan Anderson,PF,29,HOU,20,600,14.3,0.639,0.781,0.144,5.1,16.3,10.7,3.5,0.5,1.3,7.9,15.6,1.3,0.6,1.9,0.152,1.9,-1,0.9,0.4
2018,Ike Anigbogu,C,19,IND,6,17,5.2,0.34,0,0.4,13.3,13,13.1,0,2.8,4.9,25.4,20.2,-0.1,0,0,-0.114,-10.9,-1.2,-12.1,0
2018,Giannis Antetokounmpo,PF,23,MIL,20,741,31.3,0.61,0.088,0.469,6.2,26.7,16.4,23.7,2.4,4.2,10.3,33.3,2.9,1.2,4.1,0.263,5.5,2.3,7.8,1.8
2018,Carmelo Anthony,SF,33,OKC,20,646,16.3,0.534,0.394,0.237,2.5,19.9,10.9,8.3,1.3,2,8.4,26.3,0.7,0.9,1.6,0.119,-0.9,-1.4,-2.3,-0.1
2018,OG Anunoby,SF,20,TOR,21,395,12.6,0.606,0.55,0.22,3.6,8.5,6.1,6.9,2.2,0.2,6.8,13.1,0.7,0.4,1.1,0.134,2.4,-0.1,2.3,0.4
2018,Ryan Arcidiacono,PG,23,CHI,1,5,-13.3,0,1,0,0,0,0,26.6,0,0,0,17.6,0,0,0,-0.374,-12.7,-10.4,-23.1,0
2018,Trevor Ariza,SF,32,HOU,19,649,12.6,0.601,0.758,0.118,2.1,12.9,7.5,9.1,2.1,0.4,10.1,13.9,1,0.8,1.8,0.135,1.6,1.1,2.7,0.8
2018,Darrell Arthur,PF,29,DEN,3,24,-7.7,0.143,0.571,0,4.6,9.4,6.9,5.3,2,0,22.2,16,-0.1,0,-0.1,-0.239,-10.5,-1.8,-12.3,-0.1
2018,Omer Asik,C,31,NOP,2,24,11.1,0.509,0,0.333,4.7,31.1,18.3,5.8,0,0,0,12.5,0,0,0,0.094,-4.8,-2.1,-6.9,0
2018,D.J. Augustin,PG,30,ORL,16,319,16.4,0.649,0.416,0.404,1.7,7.7,4.8,27.3,1.9,0,19.9,17.8,0.8,0.1,0.8,0.126,1.8,-2.7,-1,0.1
2018,Luke Babbitt,SF,28,ATL,19,372,13.3,0.652,0.658,0.111,1.2,13.5,7.3,6.9,0.8,0.7,9.6,16,0.7,0.1,0.7,0.094,1.5,-2.4,-0.9,0.1
2018,Dwayne Bacon,SG,22,CHO,20,382,5.3,0.438,0.296,0.112,0.3,20.6,10.5,7.2,0.8,0.4,11.2,13.2,-0.3,0.3,0,-0.001,-5.2,0.5,-4.7,-0.3
2018,Ron Baker,SG,24,NYK,5,57,11.2,0.485,0.333,1.111,0,7.6,4,31.5,5.2,0,34.3,15.6,-0.1,0.1,0,0.032,-3.6,0.4,-3.2,0
2018,Lonzo Ball,PG,20,LAL,22,735,10.2,0.383,0.445,0.122,4.7,17.5,11.2,29.1,2,1.8,18.9,18,-0.9,1.1,0.2,0.011,-3,2.3,-0.7,0.2
2018,J.J. Barea,PG,33,DAL,23,511,18.4,0.553,0.483,0.167,1.4,13.9,7.4,42.4,1.1,0.2,15.7,26.8,0.8,0.4,1.1,0.107,3.5,-1.7,1.7,0.5
